S.no,employee_id,first_name,last_name,gender,state,city,hiredate,department,job_title,education_level,salary,performance_rating,overtime,birthdate,termdate
1,00-95822412,Patricia,Smith,Female,Michigan,Warren,31-01-2018,Operations,Operations Analyst,Bachelor,"68,289",Good,Yes,18-03-1998,
2,00-83197857,John,Jackson,Female,New York,Buffalo,11-05-2015,Customer Service,Customer Service Manager,High School,"78,657",Good,No,20-03-1990,
3,00-13561597,Sarah,Miller,Female,Michigan,Warren,15-04-2022,Customer Service,Help Desk Technician,Bachelor,"1,08,878",Good,Yes,26-03-1967,
4,00-10872248,Jennifer,Wilson,Female,New York,Buffalo,12-02-2018,Operations,Operations Analyst,Bachelor,"94,118",Good,Yes,18-03-1998,25-02-2019
5,00-58181396,Barbara,Martin,Male,New York,Buffalo,19-01-2024,Sales,Sales Manager,PhD,"66,361",Good,No,22-03-1980,09-03-2026
6,00-94374605,Karen,Lopez,Male,New York,Rochester,26-02-2017,Operations,Operations Manager,High School,"79,871",Good,Yes,21-03-1986,
7,00-41244663,Patricia,Gonzalez,Male,New York,Buffalo,01-02-2020,IT,System Administrator,Bachelor,"98,520",Needs Improvement,No,22-03-1982,
8,00-45833156,John,Martin,Male,New York,Rochester,01-12-2016,IT,Software Developer,Bachelor,"1,10,589",Satisfactory,No,22-03-1980,
9,00-95899313,Sarah,Davis,Female,New York,Rochester,21-08-2018,IT,IT Manager,Bachelor,"54,207",Satisfactory,Yes,21-03-1984,
10,00-18883684,Michael,Jackson,Male,New York,Rochester,12-07-2018,Operations,Operations Analyst,PhD,"1,01,856",Good,Yes,24-03-1975,
11,00-28740864,Linda,Moore,Male,Pennsylvania,Allentown,12-12-2017,Customer Service,Help Desk Technician,PhD,"97,447",Satisfactory,No,20-03-1990,
12,00-28566572,Thomas,Thomas,Male,New York,New York City,23-06-2023,Sales,Sales Manager,High School,"70,033",Excellent,No,19-03-1994,
13,00-66661351,Karen,Williams,Female,New York,Buffalo,13-04-2019,Customer Service,Help Desk Technician,Master,"51,504",Good,Yes,18-03-1997,
15,00-45351479,Thomas,Garcia,Male,New York,Rochester,11-03-2016,HR,Recruiter,Bachelor,"70,032",Satisfactory,No,22-03-1981,
16,00-82394227,Thomas,Smith,Male,Pennsylvania,Allentown,20-08-2018,IT,IT Support Specialist,High School,"64,662",Good,Yes,22-03-1981,
17,00-51273847,Linda,Johnson,Male,New York,New York City,05-11-2024,Sales,Sales Manager,High School,"1,13,699",Excellent,No,17-03-2000,
18,00-81498611,Robert,Jones,Female,Florida,Tampa,30-04-2020,Operations,Operations Analyst,Master,"1,19,163",Satisfactory,No,26-03-1966,
19,00-38427073,Sarah,Miller,Female,Virginia,Richmond,30-06-2018,Operations,Inventory Specialist,Master,"1,07,422",Good,No,25-03-1971,
20,00-43273328,Linda,Williams,Male,New York,Buffalo,28-03-2015,Marketing,SEO Specialist,Bachelor,"50,942",Excellent,Yes,17-03-2000,
21,00-17901903,Linda,Williams,Female,New York,New York City,22-08-2024,Sales,Sales Specialist,High School,"1,17,391",Good,No,20-03-1989,
22,00-75151231,Michael,Moore,Female,New York,New York City,10-02-2023,Operations,Inventory Specialist,Bachelor,"1,11,993",Good,Yes,23-03-1978,
23,00-23009833,Susan,Lopez,Female,New York,Buffalo,11-08-2019,Customer Service,Help Desk Technician,High School,"62,899",Satisfactory,No,17-03-2001,
24,00-55540424,Patricia,Davis,Male,Pennsylvania,Philadelphia,18-02-2017,Sales,Sales Representative,Bachelor,"1,05,296",Satisfactory,No,19-03-1993,
25,00-43528453,John,Anderson,Male,Michigan,Warren,06-02-2016,Sales,Sales Manager,High School,"62,224",Excellent,Yes,20-03-1989,
26,00-75181648,Jessica,Miller,Female,Ohio,Cleveland,29-08-2015,Customer Service,Customer Service Representative,PhD,"50,282",Excellent,No,22-03-1980,
27,00-71070189,Elizabeth,Wilson,Female,New York,Rochester,12-03-2023,IT,IT Support Specialist,Bachelor,"74,890",Good,No,21-03-1986,
28,00-17849494,Charles,Moore,Female,New York,New York City,22-05-2023,Operations,Logistics Coordinator,High School,"56,572",Good,No,26-03-1967,
29,00-81286543,Jennifer,Johnson,Male,New York,Rochester,25-11-2015,Finance,Accountant,High School,"58,907",Good,Yes,20-03-1989,
30,00-86460539,Linda,Jackson,Female,New York,Rochester,12-06-2015,Finance,Finance Manager,PhD,"1,18,522",Excellent,Yes,21-03-1984,
31,00-37415205,David,Davis,Male,New York,Buffalo,10-06-2019,IT,Software Developer,Master,"1,09,929",Good,No,21-03-1984,
32,00-19736572,James,Anderson,Female,New York,Rochester,25-04-2021,Operations,Operations Manager,High School,"77,938",Good,No,24-03-1972,
33,00-56843172,John,Davis,Female,New York,Buffalo,13-03-2018,Operations,Operations Analyst,PhD,"89,651",Good,Yes,25-03-1971,09-04-2023
34,00-84437458,Elizabeth,Brown,Male,New York,New York City,19-12-2017,Sales,Sales Manager,High School,"70,374",Excellent,No,21-03-1987,
35,00-38270233,David,Miller,Male,New York,Rochester,10-02-2022,Operations,Logistics Coordinator,PhD,"82,914",Good,No,17-03-2001,23-12-2024
36,00-47135391,Mary,Smith,Female,New York,Buffalo,25-08-2023,Marketing,SEO Specialist,Master,"71,178",Needs Improvement,Yes,23-03-1976,
37,00-67403166,Sarah,Smith,Female,New York,New York City,05-11-2015,Customer Service,Customer Service Representative,High School,"98,393",Satisfactory,Yes,26-03-1967,
38,00-67684996,Robert,Johnson,Male,Ohio,Cleveland,02-02-2019,Operations,Operations Manager,Master,"77,535",Good,Yes,20-03-1989,
39,00-57469942,Sarah,Wilson,Female,Michigan,Warren,28-05-2023,Customer Service,Customer Service Representative,Bachelor,"71,299",Satisfactory,No,19-03-1993,
40,00-13326769,Jennifer,Hernandez,Female,Florida,Orlando,30-12-2023,Customer Service,Customer Service Representative,Master,"70,866",Satisfactory,No,18-03-1998,
41,00-15197528,Jessica,Davis,Male,New York,New York City,27-02-2024,IT,IT Support Specialist,Master,"90,001",Satisfactory,No,20-03-1990,
42,00-98588154,Michael,Gonzalez,Female,New York,Buffalo,15-02-2018,Operations,Operations Manager,Master,"96,025",Excellent,Yes,24-03-1972,
43,00-81969657,David,Smith,Male,New York,New York City,01-11-2024,Operations,Logistics Coordinator,Bachelor,"84,795",Good,No,17-03-2002,06-10-2027
44,00-56397338,David,Wilson,Female,New York,Rochester,25-09-2020,Operations,Operations Manager,PhD,"74,914",Satisfactory,No,20-03-1988,03-09-2023
45,00-10226999,Thomas,Moore,Male,New York,Rochester,25-01-2023,IT,Software Developer,Master,"1,06,531",Good,Yes,17-03-2000,
46,00-54318698,Karen,Hernandez,Female,Michigan,Warren,05-07-2024,Marketing,Marketing Manager,Master,"1,16,469",Satisfactory,No,21-03-1985,
47,00-53779528,Richard,Martinez,Male,New York,Rochester,05-06-2016,Operations,Operations Analyst,PhD,"99,695",Good,Yes,19-03-1993,
48,00-50392808,Richard,Moore,Male,New York,New York City,29-05-2018,IT,System Administrator,Bachelor,"1,06,346",Satisfactory,Yes,26-03-1967,
49,00-53251559,Joseph,Anderson,Male,Michigan,Grand Rapids,30-07-2022,Customer Service,Customer Service Representative,PhD,"72,241",Good,Yes,18-03-1999,
50,00-99100953,Karen,Hernandez,Male,New York,New York City,06-03-2024,Customer Service,Customer Service Representative,Master,"79,444",Needs Improvement,No,19-03-1992,
51,00-16202700,Linda,Thomas,Female,New York,Rochester,12-07-2024,Customer Service,Customer Service Manager,PhD,"1,04,321",Good,Yes,25-03-1968,
52,00-61536717,Jessica,Gonzalez,Male,Michigan,Detroit,27-08-2016,Operations,Operations Manager,High School,"1,05,724",Good,Yes,20-03-1990,
53,00-79519112,Joseph,Johnson,Male,Michigan,Warren,17-10-2017,IT,IT Manager,PhD,"67,477",Good,No,24-03-1975,
54,00-85017682,Karen,Hernandez,Male,New York,Buffalo,14-11-2021,Operations,Inventory Specialist,PhD,"70,861",Good,Yes,24-03-1974,
55,00-43183955,William,Taylor,Male,Ohio,Cleveland,11-01-2022,Customer Service,Customer Service Representative,Master,"1,07,654",Satisfactory,No,17-03-2000,
56,00-41473195,William,Hernandez,Male,Pennsylvania,Pittsburgh,21-01-2021,Operations,Operations Manager,Bachelor,"69,769",Satisfactory,No,20-03-1990,
57,00-30509175,Michael,Williams,Male,New York,Buffalo,28-07-2019,Sales,Sales Specialist,PhD,"1,04,496",Excellent,No,17-03-2001,
58,00-66390708,Richard,Jackson,Female,New York,Rochester,22-03-2015,Operations,Inventory Specialist,PhD,"50,772",Good,No,22-03-1982,
59,00-62343121,Susan,Moore,Female,New York,Rochester,29-03-2023,Customer Service,Customer Service Representative,PhD,"78,760",Good,Yes,21-03-1987,
